code,name,area,state,type,pop
35760,North Burnett (R),19669.8489,qld,lga,10628
35780,Northern Peninsula Area (R),1052.0676,qld,lga,3069
35790,Palm Island (S),71.9928,qld,lga,2637
35800,Paroo (S),47612.8774,qld,lga,1586
36070,Pormpuraaw (S),4395.3657,qld,lga,833
36150,Quilpie (S),67414.6563,qld,lga,790
36250,Redland (C),537.167,qld,lga,156863
36300,Richmond (S),26580.7478,qld,lga,806
36370,Rockhampton (R),6570.2667,qld,lga,81067
36510,Scenic Rim (R),4242.7432,qld,lga,42583
36580,Somerset (R),5373.4337,qld,lga,25887
36630,South Burnett (R),8381.558,qld,lga,32555
36660,Southern Downs (R),7107.816,qld,lga,35601
36720,Sunshine Coast (R),2253.8526,qld,lga,319922
36820,Tablelands (R),11292.8698,qld,lga,25541
36910,Toowoomba (R),12957.2108,qld,lga,167657
36950,Torres (S),883.731,qld,lga,3848
36960,Torres Strait Island (R),490.031,qld,lga,4994
37010,Townsville (C),3730.82,qld,lga,194072
37300,Weipa (T),10.8218,qld,lga,4240
37310,Western Downs (R),37936.593,qld,lga,34467
37340,Whitsunday (R),23818.8922,qld,lga,35050
37400,Winton (S),53813.4826,qld,lga,1157
37550,Woorabinda (S),390.5578,qld,lga,1005
37570,Wujal Wujal (S),11.842,qld,lga,306
37600,Yarrabah (S),158.8381,qld,lga,2848
40070,Adelaide (C),15.5733,sa,lga,24794
40120,Adelaide Hills (DC),794.4957,sa,lga,39734
40150,Adelaide Plains (DC),932.4913,sa,lga,9059
40220,Alexandrina (DC),1826.8066,sa,lga,27037
40250,Anangu Pitjantjatjara (AC),102353.0512,sa,lga,2558
40310,Barossa (DC),893.5424,sa,lga,24808
40430,Barunga West (DC),1590.3887,sa,lga,2551
40520,Berri and Barmera (DC),476.1962,sa,lga,10853
40700,Burnside (C),27.5183,sa,lga,45706
40910,Campbelltown (C) (SA),24.3486,sa,lga,51469
41010,Ceduna (DC),5420.3436,sa,lga,3466
41060,Charles Sturt (C),54.7876,sa,lga,117382
41140,Clare and Gilbert Valleys (DC),1892.4466,sa,lga,9379
41190,Cleve (DC),5018.8484,sa,lga,1799
41330,Coober Pedy (DC),77.6795,sa,lga,1845
41560,Copper Coast (DC),772.9149,sa,lga,14872
41750,Elliston (DC),6741.9317,sa,lga,1019
41830,Flinders Ranges (DC),4070.4827,sa,lga,1693
41960,Franklin Harbour (DC),2755.564,sa,lga,1315
42030,Gawler (T),41.1379,sa,lga,24018
42110,Goyder (DC),6715.1418,sa,lga,4206
42250,Grant (DC),1898.0143,sa,lga,8511
42600,Holdfast Bay (C),13.752,sa,lga,37032
42750,Kangaroo Island (DC),4400.8558,sa,lga,4933
43080,Karoonda East Murray (DC),4415.7959,sa,lga,1112
43220,Kimba (DC),5697.1076,sa,lga,1073
43360,Kingston (DC) (SA),3339.7952,sa,lga,2374
43650,Light (RegC),1276.8453,sa,lga,15339
43710,Lower Eyre Peninsula (DC),4721.2875,sa,lga,5761
43790,Loxton Waikerie (DC),7763.9231,sa,lga,11726
44000,Maralinga Tjarutja (AC),102703.899,sa,lga,64
44060,Marion (C),55.6407,sa,lga,92308
44210,Mid Murray (DC),6271.6254,sa,lga,8983
44340,Mitcham (C),75.5468,sa,lga,67253
44550,Mount Barker (DC),594.6405,sa,lga,35545
44620,Mount Gambier (C),33.8938,sa,lga,27176
44830,Mount Remarkable (DC),3422.7733,sa,lga,2910
45040,Murray Bridge (RC),1831.7597,sa,lga,22165
45090,Naracoorte and Lucindale (DC),4520.127,sa,lga,8533
45120,Northern Areas (DC),2986.1818,sa,lga,4603
45290,Norwood Payneham St Peters (C),15.1036,sa,lga,36750
45340,Onkaparinga (C),518.1251,sa,lga,171489
45400,Orroroo/Carrieton (DC),3321.8238,sa,lga,854
45540,Peterborough (DC),3020.142,sa,lga,1700
45680,Playford (C),345.203,sa,lga,93426
45890,Port Adelaide Enfield (C),91.7586,sa,lga,126120
46090,Port Augusta (C),1195.5836,sa,lga,14102
46300,Port Lincoln (C),30.3681,sa,lga,14626
46450,Port Pirie City and Dists (M),1760.7097,sa,lga,17630
46510,Prospect (C),7.7915,sa,lga,21259
46670,Renmark Paringa (DC),915.8655,sa,lga,9869
46860,Robe (DC),1091.7162,sa,lga,1444
46970,Roxby Downs (M),110.4762,sa,lga,4014
47140,Salisbury (C),159.8432,sa,lga,142555
47290,Southern Mallee (DC),5702.2095,sa,lga,2094
47490,Streaky Bay (DC),6222.8591,sa,lga,2214
47630,Tatiara (DC),6527.2084,sa,lga,6794
47700,Tea Tree Gully (C),95.2108,sa,lga,99694
47800,The Coorong (DC),8833.434,sa,lga,5463
47910,Tumby Bay (DC),2669.0747,sa,lga,2688
47980,Unley (C),14.2703,sa,lga,39145
48050,Victor Harbor (C),384.6255,sa,lga,15248
48130,Wakefield (DC),3468.4881,sa,lga,6814
48260,Walkerville (M),3.53,sa,lga,7944
48340,Wattle Range (DC),3926.3233,sa,lga,12031
48410,West Torrens (C),37.04,sa,lga,60105
48540,Whyalla (C),1071.3398,sa,lga,21766
48640,Wudinna (DC),5075.2783,sa,lga,1294
48750,Yankalilla (DC),751.2577,sa,lga,5478
48830,Yorke Peninsula (DC),5899.6079,sa,lga,11328
49399,Unincorporated SA,622489.4848,sa,lga,3520
50080,Albany (C),4310.8905,wa,lga,37826
50210,Armadale (C),559.5261,wa,lga,87634
50250,Ashburton (S),100818.2074,wa,lga,13329
50280,Augusta-Margaret River (S),2122.3749,wa,lga,15700
50350,Bassendean (T),10.3449,wa,lga,15739
50420,Bayswater (C),34.6168,wa,lga,68232
50490,Belmont (C),39.8246,wa,lga,41510
50560,Beverley (S),2370.5195,wa,lga,1748
50630,Boddington (S),1904.4791,wa,lga,1833
50770,Boyup Brook (S),2826.4586,wa,lga,1756
50840,Bridgetown-Greenbushes (S),1337.361,wa,lga,4722
50910,Brookton (S),1601.1532,wa,lga,965
50980,Broome (S),54401.8236,wa,lga,16952
51080,Broomehill-Tambellup (S),2609.6585,wa,lga,1132
51120,Bruce Rock (S),2724.6944,wa,lga,940
51190,Bunbury (C),65.4163,wa,lga,31776
51260,Busselton (C),1454.0505,wa,lga,38926
51310,Cambridge (T),21.9554,wa,lga,28481
51330,Canning (C),64.8789,wa,lga,92965
51400,Capel (S),557.8983,wa,lga,18022
51470,Carnamah (S),2870.9247,wa,lga,541
51540,Carnarvon (S),46574.6082,wa,lga,5362
51610,Chapman Valley (S),3981.3333,wa,lga,1492
51680,Chittering (S),1219.9032,wa,lga,5742
51750,Claremont (T),4.9556,wa,lga,10704
51820,Cockburn (C),167.8989,wa,lga,112165
51890,Collie (S),1709.8149,wa,lga,8754
51960,Coolgardie (S),30297.6977,wa,lga,3506
52030,Coorow (S),4189.8791,wa,lga,1004
52100,Corrigin (S),2681.2709,wa,lga,1146
52170,Cottesloe (T),3.8564,wa,lga,8188
52240,Cranbrook (S),3276.0491,wa,lga,1077
52310,Cuballing (S),1195.337,wa,lga,862
52380,Cue (S),13582.1956,wa,lga,148
52450,Cunderdin (S),1862.4458,wa,lga,1440
52520,Dalwallinu (S),7224.3566,wa,lga,1431
52590,Dandaragan (S),6711.5721,wa,lga,3259
52660,Dardanup (S),525.8017,wa,lga,14368
52730,Denmark (S),1859.8488,wa,lga,6154
52800,Derby-West Kimberley (S),119730.9697,wa,lga,8255
52870,Donnybrook-Balingup (S),1559.8561,wa,lga,6062
52940,Dowerin (S),1863.0851,wa,lga,676
53010,Dumbleyung (S),2539.2249,wa,lga,676
53080,Dundas (S),92885.0302,wa,lga,735
53150,East Fremantle (T),3.1384,wa,lga,7811
53220,East Pilbara (S),372307.466,wa,lga,10970
53290,Esperance (S),44797.5456,wa,lga,14281
53360,Exmouth (S),6488.0705,wa,lga,2836
53430,Fremantle (C),19.0103,wa,lga,30868
53570,Gingin (S),3208.3585,wa,lga,5258
53640,Gnowangerup (S),4265.0424,wa,lga,1207
53710,Goomalling (S),1835.4294,wa,lga,1011
53780,Gosnells (C),127.2975,wa,lga,123325
53800,Greater Geraldton (C),9909.0003,wa,lga,38738
53920,Halls Creek (S),133061.0128,wa,lga,3490
53990,Harvey (S),1727.6068,wa,lga,27798
54060,Irwin (S),2369.3298,wa,lga,3560
54130,Jerramungup (S),6508.5904,wa,lga,1133
54170,Joondalup (C),98.9285,wa,lga,160031
54200,Kalamunda (C),324.2957,wa,lga,58946
54280,Kalgoorlie/Boulder (C),95498.052,wa,lga,29998
54310,Karratha (C),15237.3974,wa,lga,22414
54340,Katanning (S),1518.1854,wa,lga,4085
54410,Kellerberrin (S),1915.433,wa,lga,1207
54480,Kent (S),5624.5818,wa,lga,562
54550,Kojonup (S),2930.9926,wa,lga,1980
54620,Kondinin (S),7440.8016,wa,lga,870
54690,Koorda (S),2832.3131,wa,lga,408
54760,Kulin (S),4718.9219,wa,lga,774
54830,Kwinana (C),120.0121,wa,lga,43511
54900,Lake Grace (S),11886.3199,wa,lga,1282
54970,Laverton (S),179984.601,wa,lga,1206
55040,Leonora (S),31915.0562,wa,lga,1529
55110,Mandurah (C),174.8967,wa,lga,85302
55180,Manjimup (S),7029.6077,wa,lga,9159
55250,Meekatharra (S),100188.5477,wa,lga,1008
55320,Melville (C),52.8506,wa,lga,101940
55390,Menzies (S),124110.9368,wa,lga,521
55460,Merredin (S),3293.7824,wa,lga,3410
55530,Mingenew (S),1934.8857,wa,lga,432
55600,Moora (S),3763.0254,wa,lga,2426
55670,Morawa (S),3510.5928,wa,lga,698
55740,Mosman Park (T),4.3472,wa,lga,9067
55810,Mount Magnet (S),13858.1182,wa,lga,464
55880,Mount Marshall (S),10184.5937,wa,lga,518
55950,Mukinbudin (S),3426.9441,wa,lga,531
56090,Mundaring (S),643.2013,wa,lga,39139
56160,Murchison (S),45046.0922,wa,lga,162
56230,Murray (S),1703.4688,wa,lga,17653
56300,Nannup (S),3053.9361,wa,lga,1363
56370,Narembeen (S),3809.0285,wa,lga,837
56460,Narrogin (S),1631.3024,wa,lga,5040
56580,Nedlands (C),19.645,wa,lga,22554
56620,Ngaanyatjarraku (S),159821.7026,wa,lga,1747
56730,Northam (S),1431.2215,wa,lga,11190
56790,Northampton (S),12543.7142,wa,lga,3077
56860,Nungarin (S),1166.0245,wa,lga,247
56930,Peppermint Grove (S),1.0677,wa,lga,1721
57000,Perenjori (S),8301.3551,wa,lga,596
57080,Perth (C),13.7193,wa,lga,27762
57140,Pingelly (S),1294.5721,wa,lga,1152
57210,Plantagenet (S),4876.6821,wa,lga,5249
57280,Port Hedland (T),18417.0777,wa,lga,14975
57350,Quairading (S),2016.9269,wa,lga,1007
57420,Ravensthorpe (S),9841.7503,wa,lga,1598
57490,Rockingham (C),257.497,wa,lga,133389
57630,Sandstone (S),32605.2911,wa,lga,81
57700,Serpentine-Jarrahdale (S),901.2056,wa,lga,30933
57770,Shark Bay (S),24201.2466,wa,lga,946
57840,South Perth (C),19.8116,wa,lga,43554
57910,Stirling (C),104.727,wa,lga,220249
57980,Subiaco (C),5.6182,wa,lga,17106
58050,Swan (C),1042.9933,wa,lga,143374
58190,Tammin (S),1101.692,wa,lga,401
58260,Three Springs (S),2656.6928,wa,lga,591
58330,Toodyay (S),1691.6486,wa,lga,4427
58400,Trayning (S),1651.2043,wa,lga,348
58470,Upper Gascoyne (S),57809.8737,wa,lga,279
58510,Victoria Park (T),17.9397,wa,lga,36601
58540,Victoria Plains (S),2551.0132,wa,lga,934
58570,Vincent (C),11.3769,wa,lga,36088
58610,Wagin (S),1946.1763,wa,lga,1824
58680,Wandering (S),1903.8645,wa,lga,431
58760,Wanneroo (C),683.2603,wa,lga,203679
58820,Waroona (S),832.2286,wa,lga,4169
58890,West Arthur (S),2831.8272,wa,lga,798
59030,Westonia (S),3319.4497,wa,lga,302
59100,Wickepin (S),2040.8985,wa,lga,730
59170,Williams (S),2304.7119,wa,lga,1024
59250,Wiluna (S),181297.3382,wa,lga,706
59310,Wongan-Ballidu (S),3365.0675,wa,lga,1299
59320,Woodanilling (S),1128.8348,wa,lga,428
59330,Wyalkatchem (S),1594.4885,wa,lga,498
59340,Wyndham-East Kimberley (S),112065.9843,wa,lga,7317
59350,Yalgoo (S),27949.4641,wa,lga,357
59360,Yilgarn (S),30428.765,wa,lga,1169
59370,York (S),2131.5916,wa,lga,3591
60210,Break O'Day (M),3523.8859,tas,lga,6232
60410,Brighton (M),171.1508,tas,lga,17294
60610,Burnie (C),610.9529,tas,lga,19348
60810,Central Coast (M) (Tas.),933.0892,tas,lga,21904
61010,Central Highlands (M) (Tas.),7982.4155,tas,lga,2144
61210,Circular Head (M),4898.011,tas,lga,8066
61410,Clarence (C),377.9552,tas,lga,56945
61510,Derwent Valley (M),4108.1112,tas,lga,10290
61610,Devonport (C),111.259,tas,lga,25415
61810,Dorset (M),3230.5456,tas,lga,6652
62010,Flinders (M) (Tas.),1996.6244,tas,lga,987
62210,George Town (M),653.4377,tas,lga,6931
62410,Glamorgan/Spring Bay (M),2591.5618,tas,lga,4528
62610,Glenorchy (C),121.1483,tas,lga,47636
62810,Hobart (C),77.9097,tas,lga,53684
63010,Huon Valley (M),5507.3541,tas,lga,17219
63210,Kentish (M),1156.1887,tas,lga,6324
63410,King Island (M),1095.7407,tas,lga,1601
63610,Kingborough (M),720.1029,tas,lga,37734
63810,Latrobe (M) (Tas.),600.4617,tas,lga,11329
64010,Launceston (C),1413.6306,tas,lga,67449
64210,Meander Valley (M),3330.8145,tas,lga,19713
64610,Northern Midlands (M),5135.2503,tas,lga,13300
64810,Sorell (M),583.7776,tas,lga,15218
65010,Southern Midlands (M),2615.4934,tas,lga,6118
65210,Tasman (M),660.3947,tas,lga,2404
65410,Waratah/Wynyard (M),3535.9075,tas,lga,13800
65610,West Coast (M),9583.5388,tas,lga,4167
65810,West Tamar (M),691.147,tas,lga,23769
70200,Alice Springs (T),327.7133,nt,lga,26534
